year,lon,lat,dep,mag
2000,104.0,32.35,10.0,2.0
2000,104.13,31.52,5.0,1.3
2000,102.82,30.58,5.0,2.6
2000,103.92,31.25,7.0,1.3
2000,104.02,29.18,8.0,2.8
2000,103.57,30.98,11.0,1.4
2000,102.4,25.05,25.0,2.1
2000,103.77,31.33,11.0,1.8
2000,102.65,26.97,12.0,1.8
2000,100.07,25.57,5.0,2.3
2000,100.73,28.67,8.0,2.6
2000,100.07,31.57,2.0,1.7
2000,104.15,32.42,11.0,1.7
2000,104.08,31.68,29.0,1.1
2000,103.0,31.65,2.0,2.3
2000,103.57,30.93,8.0,1.4
2000,103.63,32.15,12.0,1.7
2000,105.07,32.07,6.0,1.5
2000,103.75,31.68,12.0,1.4
2000,103.73,31.68,10.0,1.8
2000,105.22,29.37,1.0,1.6
2000,104.03,31.63,5.0,2.8
2000,104.05,31.55,14.0,1.1
2000,104.05,31.62,19.0,1.3
2000,101.5,26.65,5.0,2.2
2000,101.43,26.67,8.0,2.3
2000,104.02,31.62,5.0,1.2
2000,103.7,32.12,5.0,2.1
2000,105.37,29.33,1.0,1.8
2000,104.88,28.28,11.0,1.7
2000,102.82,30.67,16.0,2.3
2000,101.92,31.92,9.0,2.4
2000,103.87,31.18,9.0,1.3
2000,104.17,32.13,5.0,1.7
2000,104.02,31.62,5.0,1.8
2000,103.88,31.28,9.0,1.4
2000,101.72,31.77,5.0,1.5
2000,103.27,30.82,19.0,3.3
2000,105.27,29.4,8.0,2.1
2000,103.5,28.22,5.0,2.2
2000,105.03,28.97,7.0,1.6
2000,105.28,29.37,5.0,1.9
2000,104.07,31.63,8.0,1.9
2000,103.93,31.55,5.0,1.8
2000,104.83,33.25,25.0,2.0
2000,105.15,32.07,15.0,2.3
2000,104.17,32.68,7.0,1.6
2000,103.98,28.43,13.0,1.7
2000,103.53,31.55,6.0,1.7
2000,104.07,31.6,14.0,2.2
2000,104.07,31.58,10.0,1.3
2000,100.92,27.0,20.0,2.0
2000,103.13,31.67,5.0,2.7
2000,103.2,31.68,3.0,1.7
2000,103.15,31.67,9.0,2.4
2000,103.18,31.68,6.0,1.8
2000,103.53,31.52,6.0,1.9
2000,104.07,31.5,7.0,1.4
2000,101.18,28.12,5.0,2.3
2000,105.38,29.42,4.0,2.4
2000,105.33,29.4,10.0,2.1
2000,105.33,29.33,3.0,2.1
2000,102.28,28.3,14.0,1.7
2000,104.83,28.32,5.0,3.2
2000,102.9,25.1,15.0,1.7
2000,101.32,26.27,10.0,1.9
2000,104.07,31.23,10.0,1.5
2000,101.17,27.07,5.0,2.9
2000,102.27,25.97,15.0,2.6
2000,100.05,31.67,6.0,1.9
2000,103.32,33.38,14.0,2.6
2000,104.03,31.28,10.0,1.6
2000,102.88,30.07,5.0,2.5
2000,102.53,28.78,15.0,1.5
2000,105.27,29.38,10.0,3.3
2000,101.12,26.78,25.0,1.5
2000,103.92,32.72,9.0,2.1
2000,103.15,31.67,7.0,2.5
2000,103.18,31.67,1.0,1.1
2000,103.17,31.65,4.0,1.4
2000,101.35,25.6,25.0,2.3
2000,104.13,31.3,10.0,1.1
2000,103.0,26.42,5.0,3.2
2000,101.08,25.53,10.0,3.1
2000,101.08,25.55,10.0,2.8
2000,104.17,31.48,12.0,1.3
2000,102.77,32.0,12.0,1.5
2000,101.03,25.6,25.0,2.1
2000,101.13,25.55,20.0,2.5
2000,103.27,31.78,3.0,1.5
2000,101.08,25.55,25.0,2.1
2000,101.0,25.62,10.0,2.6
2000,101.22,31.48,8.0,2.1
2000,102.48,29.03,5.0,1.9
2000,100.72,26.95,25.0,2.1
2000,103.78,31.23,5.0,1.2
2000,103.3,26.95,10.0,2.9
2000,105.53,29.38,16.0,2.4
2000,103.93,31.43,6.0,1.4
2000,102.8,23.95,10.0,3.6
2000,103.72,32.65,5.0,2.0
2000,101.43,23.12,5.0,2.2
2000,102.2,23.47,10.0,3.0
2000,102.18,25.85,20.0,2.0
2000,103.47,31.08,1.0,1.5
2000,102.28,28.07,8.0,2.1
2000,101.08,25.58,25.0,2.5
2000,101.1,25.53,10.0,4.0
2000,104.22,31.6,8.0,1.2
2000,103.88,31.25,13.0,1.5
2000,102.65,26.97,11.0,2.2
2000,102.65,26.97,11.0,2.1
2000,102.67,26.92,12.0,1.3
2000,103.83,31.25,5.0,1.2
2000,103.68,30.97,2.0,1.9
2000,102.42,28.98,8.0,1.5
2000,101.88,27.33,16.0,1.9
2000,101.38,25.9,10.0,2.1
2000,98.12,24.75,10.0,3.0
2000,102.3,26.63,7.0,2.0
2000,99.6,24.37,10.0,3.7
2000,105.1,32.07,9.0,1.5
2000,101.07,25.53,10.0,3.5
2000,103.73,31.07,5.0,1.0
2000,99.93,31.1,5.0,2.3
2000,103.9,31.9,7.0,1.5
2000,106.07,31.97,15.0,1.9
2000,101.92,29.67,11.0,1.3
2000,104.02,31.38,11.0,1.2
2000,103.62,31.15,11.0,1.5
2000,103.13,30.12,5.0,1.5
2000,100.2,26.2,20.0,1.7
2000,101.12,25.63,25.0,2.0
2000,104.48,33.2,22.0,2.2
2000,103.35,26.9,10.0,2.3
2000,104.58,28.97,7.0,2.1
2000,101.88,23.55,5.0,2.9
2000,103.95,31.48,5.0,2.1
2000,102.65,26.97,14.0,2.1
2000,103.77,31.18,5.0,1.2
2000,102.68,26.97,9.0,1.7
2000,102.65,26.98,9.0,1.6
2000,105.27,32.1,29.0,1.6
2000,100.1,31.62,3.0,2.1
2000,104.0,31.58,9.0,1.4
2000,102.23,29.03,11.0,1.8
2000,105.53,29.43,17.0,3.3
2000,101.03,25.53,15.0,2.4
2000,102.8,28.18,5.0,2.0
2000,105.33,29.32,2.0,2.2
2000,102.03,25.73,10.0,1.9
2000,104.07,31.25,13.0,1.4
2000,102.08,27.88,17.0,1.5
2000,103.47,31.4,11.0,1.4
2000,99.38,24.78,10.0,3.1
2000,100.05,31.63,5.0,2.3
